,Curr_name,Value
0,Bitcoin,67511.2879427931
1,Ethereum,3714.9082587113126
2,Tether USD,1.000161895832278
3,BNB,597.2677159071374
4,Solana,167.36764084337196
5,Lido Staked Ether,3715.167539278887
6,USDC,1.000066738437144
7,XRP,0.5291835674771967
8,Dogecoin,0.16475098331720883
9,Toncoin,6.181702572185407
10,Cardano,0.46365207286807864
11,Avalanche,38.00323406164141
12,Shiba Inu,0.000024288501057849
13,Wrapped liquid staked Ether 2.0,4331.728231653761
14,Wrapped Ether,3718.0198306746743
15,Wrapped BTC,67548.85172582543
16,Polkadot,7.25082448688899
17,Chainlink,17.560795819791807
18,TRON,0.1146250170681924
19,Bitcoin Cash,487.0880123384609
20,Uniswap,9.311503724170505
21,Polygon,0.7257985838621582
22,Litecoin,85.51631566220182
23,Fetch.AI,2.303538327443483
24,PEPE,0.000013737863787118
25,Internet Computer (DFINITY),12.21894706162543
26,Render Token,10.127275796087556
27,Dai,1.00230150179152
28,PancakeSwap,2.942603924547987
29,Immutable X,2.3610567700446152
30,NEAR Protocol,7.728984754459082
31,Ethereum Classic,31.552867015815977
32,Wrapped eETH,3854.796114310665
33,Hedera,0.10832372010722244
34,Renzo Restaked ETH,3658.561712591903
35,First Digital USD,0.9997565446856349
36,Mantle,1.0017473833767927
37,Filecoin,5.821205194198754
38,Kaspa,0.1304079724747768
39,The Graph,0.32317897020658654
40,Bittensor,429.646106150508
41,OKB,48.69412216126146
42,Stacks,1.9398550034371504
43,dogwifhat,2.81404919561142
44,Cosmos,8.439755797658613
45,USDe,1.0013571427148984
46,Arweave,40.61786114398063
47,Monero,141.58433478219354
48,Maker,2753.7506519293934
49,VeChain,0.03494618697220192
50,date,2024-05-24
